ID,CODIGO,CAPITAL_CCAA_ID,COMUNIDAD_AUTONOMA
01,VI,1,País Vasco
02,AB,45,Castilla-La Mancha
03,A,3,Comunidad Valenciana
04,AL,41,Andalucía
05,AV,47,Castilla y León
06,BA,6,Extremadura
07,PM,7,Islas Baleares
08,B,8,Cataluña
09,BU,47,Castilla y León
10,CC,6,Extremadura
11,CA,41,Andalucía
12,CS,3,Comunidad Valenciana
13,CR,45,Castilla-La Mancha
14,CO,41,Andalucía
15,C,15,Galicia
16,CU,45,Castilla-La Mancha
17,GI,8,Cataluña
18,GR,41,Andalucía
19,GU,45,Castilla-La Mancha
20,SS,1,País Vasco
21,H,41,Andalucía
22,HU,50,Aragón
23,J,41,Andalucía
24,LE,47,Castilla y León
25,L,8,Cataluña
26,LO,26,La Rioja
27,LU,15,Galicia
28,M,28,Madrid
29,MA,41,Andalucía
30,MU,30,Murcia
31,NA,31,Navarra
32,OR,15,Galicia
33,O,33,Asturias
34,P,47,Castilla y León
35,GC,38,Islas Canarias
36,PO,15,Galicia
37,SA,47,Castilla y León
38,TF,38,Islas Canarias
39,S,39,Cantabria
40,SG,47,Castilla y León
41,SE,41,Andalucía
42,SO,47,Castilla y León
43,T,8,Cataluña
44,TE,50,Aragón
45,TO,45,Castilla-La Mancha
46,V,3,Comunidad Valenciana
47,VA,47,Castilla y León
48,BI,1,País Vasco
49,ZA,47,Castilla y León
50,Z,50,Aragón
51,CE,51,Ceuta
52,ML,52,Melilla
